n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
11,NA,11,16/06/2015,Treebanking texts and translations [Bare trees],,,,philology,translation,tree-tagging,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
12,NA,12,23/06/2015,Comparing trees: an introduction to treebanking evaluation [Annotating trees],,,,digital humanities,,tree-tagging,comparing,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
13,NA,13,10/07/2015,"Sunoikisis DC - An International Consortium of Digital Classics Programs [Digital Classicist Seminar Series 2015, http://www.digitalclassicist.org/wip/wip2015-06mb.html]",,,,digital humanities,,,,
14,NA,1,03/02/2016,Introduction to the Course,,,,,,,,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-the-Course-%28February-3%29
15,NA,2,10/02/2016,Introduction to Treebanking Part I,,,,digital humanities,,tree-tagging,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-Treebanking-Part-I-%28February-10%29
16,NA,3,17/02/2016,Introduction to Treebanking Part II,,,,digital humanities,,tree-tagging,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-Treebanking-Part-II-%28February-17%29
17,NA,4,24/02/2016,Named Entity Recognition: SNAP and Recogito,,,,digital humanities,,named entity recognition,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Named-Entity-Recognition:-SNAP-and-Recogito-%28February-24%29
18,NA,5,02/03/2016,Encoding of Ancient Texts,,,,digital humanities,paleography,encoding,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Encoding-of-ancient-texts-%28Leiden,-EpiDoc,-EAGLE,-SoSOL%29-%28March-2%29"
19,NA,6,09/03/2016,Annotation and Alignment of Texts and Objects,,,,archaeology,,annotating,network analysis,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotation-and-alignment-of-texts-and-objects-%28Perseids,-Wikimedia-Commons,-Flickr%29-%28March-9%29"
20,NA,7,16/03/2016,"3D Imaging, Scanning, Printing",,,,digital humanities,,,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/3D-Imaging,-Scanning,-Printing-%28March-16%29"
21,NA,8,23/03/2016,3D Modelling for Cultural Heritage,,,,digital humanities,anthropology,data visualization,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/3D-Modelling-for-Cultural-Heritage-%28March-23%29
22,NA,9,30/03/2016,Teaching Classics in the digital era: pedagogical and logistical issues,,,,digital humanities,,,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Teaching-Classics-in-the-digital-era:-pedagogical-and-logistical-issues-%28March-30%29
23,NA,10,06/04/2016,Inscriptions in Lucian’s True Stories,,,,epigraphy,literature,,,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Inscriptions-in-Lucian’s-True-Stories-%28April-6%29
24,NA,11,13/04/2016,"Odyssey: Named Entities Annotation, Translation Alignment",,,,philology,translation,named entity recognition,comparing,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Odyssey:-named-entities-annotation,-translation-alignment-%28April-13%29"
25,NA,12,20/04/2016,Digital Tools for the Arts and Humanities: students’ presentations (University of Florida),,,,digital humanities,,,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Digital-Tools-for-the-Arts-and-Humanities:-students’-presentations-%28University-of-Florida%29-%28April-20%29
26,NA,13,27/04/2016,"Aristotle: Translation Alignment (Greek, Latin, Arabic)",,,,literature,translation,comparing,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aristotle:-Translation-Alignment-%28Greek,-Latin,-Arabic%29-%28April-27%29"
27,NA,14,04/05/2016,Annotation of Geographical Data,,,,geography,,annotating,georeferencing,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotation-of-Geographical-Data-%28May-4%29
28,NA,15,11/05/2016,"Aligned Translations, Treebanking Part I",,,,translation,digital humanities,tree-tagging,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aligned-Translations,-Treebanking-Part-I-%28May-11%29"
29,NA,16,18/05/2016,"Aligned Translations, Treebanking Part II",,,,translation,digital humanities,tree-tagging,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aligned-Translations,-Treebanking-Part-II-%28May-18%29"
30,NA,17,27/05/2016,Reading Plato with Digital Tools,,,,literature,philosophy,sentiment analysis,topic modeling,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Reading-Plato-with-Digital-Tools-%28May-27%29
31,NA,18,01/06/2016,Text and Digital Editing (Lexicography and Geography),,,,linguistics,geography,editing,data mapping,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Text-and-Digital-Editing-%28Lexicography-and-Geography%29-%28June-1%29
32,NA,19,08/06/2016,Annotating Quotations and Text Reuses,,,,philology,,annotating,sentiment analysis,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotating-Quotations-and-Text-Reuses-%28June-8%29
33,NA,20,15/06/2016,Presenting SunoikisisDC 2016 at the CHS Common Day,,,,,,,,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Presenting-SunoikisisDC-2016-at-the-CHS-Common-Day-(June-15)
34,NA,21,22/06/2016,Digitizing Inscriptions from Georgia,,,,epigraphy,,enriching,encoding,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Digitizing-Inscriptions-from-Georgia-%28June-22%29
35,NA,22,29/06/2016,"Teaching Greek through (digital) epigraphy, epigraphy through Greek",,,,epigraphy,philology,teaching,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Teaching-Greek-through-(digital)-epigraphy,-epigraphy-through-Greek-(June-29)"
36,NA,23,06/07/2016,Open Persian,,,,translation,linguistics,finding,,https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Open-Persian-%28July-6%29
37,Fall,1,29/09/2016,Introduction: Object artefact script,,,,archaeology,,contextualizing,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-1:-Object-Artefact-Script
38,Fall,2,06/10/2016,"3D Imaging, Photogrammetry",,,,digital humanities,,scanning,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-2:-3D-Imaging,-Photogrammetry"
39,Fall,3,13/10/2016,Geography 1: Gazetteers,,,,geography,digital humanities,exploring,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-3:-Geography-1:-Gazetteers
40,Fall,4,20/10/2016,"3D Modelling, Computer Aided Design",,,,digital humanities,,designing,teaching,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-4:-3D-Modelling,-Computer-Aided-Design"
41,Fall,5,27/10/2016,Geography 2: CartoDB,,,,digital humanities,geography,exploring,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-5:-Geography-2:-CartoDB
42,Fall,6,03/11/2016,Geography 3: GIS,,,,digital humanities,geography,exploring,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-6:-Geography-3:-GIS
43,Fall,7,10/11/2016,Ontologies and Data Modelling,,,,digital humanities,,pseudo coding,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-7:-Ontologies-and-Data-Modelling
44,Fall,8,17/11/2016,Data Structuring and Querying,,,,digital humanities,,web development,managing,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-8:-Data-Structuring-and-Querying
45,Fall,9,24/11/2016,Data Visualization,,,,digital humanities,,data visualization,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-9:-Data-Visualization
46,Fall,10,01/12/2016,Network Analysis,,,,digital humanities,anthropology,network analysis,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-10:-Network-Analysis
47,Fall,11,08/12/2016,Crowdsourcing Heritage and Conservation,,,,history,museology,crowdsourcing,preserving,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-11:-Crowdsourcing-Heritage-and-Conservation
48,Fall,12,15/12/2016,Historical sources,,,,philology,history,sentiment analysis,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-12:-Historical-Sources
49,Spring,1,26/01/2017,Geo-annotation,,,,geography,,annotating,georeferencing,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Geo-annotation
50,Spring,2,02/02/2017,Encoding of ancient texts,,,,digital humanities,paleography,encoding,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Encoding-of-ancient-texts
51,Spring,3,09/02/2017,Annotating treebanks,,,,digital humanities,linguistics,tree-tagging,annotating,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Annotating-treebanks
52,Spring,4,16/02/2017,Querying treebanks / INESS / Regex,,,,digital humanities,,tree-tagging,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Querying-treebanks-INESS-Regex
53,Spring,5,23/02/2017,Querying treebanks / XML / XQuery / XPath,,,,digital humanities,,tree-tagging,encoding,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Querying-treebanks-XML,-XQuery,-XPath"
54,Spring,6,02/03/2017,"Translation alignment: Herodotus in Greek, English and Arabic",,,,translation,translation,comparing,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Translation-alignment:-Herodotus-in-Greek,-English-and-Arabic"
55,Spring,7,09/03/2017,Prosopography,,,,prosopography,anthropology,named entity recognition,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Prosopography
56,Spring,8,16/03/2017,Computational Morphology,,,,digital humanities,morphology,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Computational-Morphology
57,Spring,9,23/03/2017,Named entity extraction I,,,,digital humanities,,named entity recognition,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Named-Entity-Extraction-I
58,Spring,10,30/03/2017,Developing linguistic metrics for the analysis of Ancient Greek,,,,linguistics,literature,,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Developing-linguistic-metrics-for-the-analysis-of-Ancient-Greek
59,Spring,11,06/04/2017,Reading Herodotus in Tbilisi,,,,literature,,sentiment analysis,associating,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Reading-Herodotus-in-Tbilisi
60,Spring,12,13/04/2017,Reading Herodotus in Tehran,,,,literature,,sentiment analysis,associating,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Reading-Herodotus-in-Teheran
61,Spring,13,20/04/2017,Named entity extraction II,,,,digital humanities,,named entity recognition,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Named-Entity-Extraction-II
62,Spring,14,27/04/2017,Digital Mycenology,,,,anthropology,digital humanities,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Mycenology
63,Spring,15,11/05/2017,Digital Papyrology: documentary papyri,,,,paleography,digital humanities,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Papyrology:-Documentary-Papyri
